Filename,Entropy_0,Entropy_1,Entropy_2,Entropy_3
010c1e2ffb9d2fc30a429b7db204ed7b,5.952109,6.052444,6.340113,6.340113
0dbe09fd79fdbb0cd9bc287bbba20ae4,5.986146,6.040524,6.310442,6.310442
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,6.215429,6.250708,6.245390,6.247418
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,5.957822,6.005625,6.387666,6.387666
27d6187c016d10afabb437b27bc8623b363401d56754d7f62967ceb19e6d9c28.elf,6.026135,6.074585,6.374337,6.374337
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,7.948372,7.948372,7.948372,7.948372
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,6.062411,6.104427,6.378004,6.378004
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,5.940532,5.990738,6.243382,6.243382
4a8b09557c61dfc2e7a850b1b2c5c81f3edcfb9f194cccc587b61bffa01936cf.elf,6.273127,6.292272,6.269324,6.250008
4adbfd0bf664acf9a00d5b5d947256ad77c9bed9f751dc92b7ee79d8a3fad596.elf,6.118791,6.322354,6.313868,6.310144
4c0b6dc763db2c0af6341e7132f159e487330f0e2203bffd86f4018980d8115c.elf,7.891202,7.891202,7.891202,7.891202
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,5.803134,5.860016,6.160305,6.160305
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,6.274458,6.312009,6.286506,6.264644
545669d87a4f72c762f24e9dd3f36e35f74428f2ca9ce57fde23cd2f8dbc2296.elf,7.897673,7.897673,7.897673,7.897673
55b5f6596994fbaef8be464a88155716926c4ac6c2339ce4310c9fcc099f63e3.elf,5.930179,6.268933,6.249502,6.235560
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,6.184707,6.179245,6.154309,6.100583
5930b55e90de6c5549b2e0e077695aa0b9890dd92f2d001e4a6e2393e7b3c321.elf,6.206120,6.263294,6.236289,6.220758
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,5.963298,6.012901,6.373268,6.373268
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,5.757994,5.809582,5.900870,5.900870
629d81986bb01d49eaec5ec578c721e7184ba428d6e3d69efd3401b42b908e72.elf,6.083121,6.129798,6.384977,6.384977
64c6f5039b72a83c7f81b094177ddf675c73a8cbdb0fae6f3f55f528213d1c00.elf,5.940666,5.990435,6.239775,6.239775
6739b6d2bc0133ee200811665c164c0e0866cc9223a00819844d58568a7e4ca6.elf,6.175273,6.221790,6.219193,6.220595
6a3084bc7ee9501e33dcefceaab00ec8135e523d811ab8cc5c389df1511858b9.elf,5.906696,5.959098,6.331521,6.331521
6c2ddfac018f28f75d48bd9306e2202f439789fc0378acf082c39e168dc69034.elf,5.146430,5.332326,5.715483,5.715483
6db50873565946688adbc295b71df792,5.952054,6.054312,6.341226,6.341226
7311111bc744b185239be8f0ec37b566709dda7260a96a8f506b225ed0c4bdd8.elf,5.803175,5.861797,6.162855,6.162855
74546959f0ac470265812ed94586103402c81263c36fb1541e3a36b627761a00.elf,6.274322,6.314306,6.290256,6.267740
76332198516a084c7e23fcd1e1a8a5160ca706b18ceb93c731c50ac75a19b946.elf,6.158385,5.716446,5.777573,5.777573
78a1b5bea50034e7a03e6ed5c0f4f80f1fbc770555891a73790e1b59a2fba608.elf,6.350499,6.360918,6.360770,6.360809
7aef6136fa14af5a22ed5ecb1659816e0626b0266e9303628170c88cfb8c8de0.elf,6.266168,6.269625,6.263475,6.263448
7f62c5975b3c8cd99f84d52a7453307865b523e97685bc85b3bdbdbd11384143.elf,6.274781,6.314789,6.288393,6.269387
818675ba09b4883e57790aff9a79669275dfe088d02dc5f5cf459b16375d17db.elf,6.195980,6.215881,6.211979,6.212827
85a1e5d57b3ba79e0051a0cc4c53067621384fb369ff4f54ebe3ec551d4f6e8c.elf,7.971271,7.971271,7.971271,7.971271
8a9b9d1afdd1d4f8fdadcb4525992a98dd373a33c02fc171c42148df0bff623b.elf,7.888693,7.888693,7.888693,7.888693
8c0e1b9faeacac7b923f6f907f740c8b65d31c22248b3a765775809fc23002b5.elf,6.059914,6.106284,6.379206,6.379206
90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3.elf,7.943852,7.943852,7.943852,7.943852
932e10b20a250b27a32dfd66c3663f8e,5.939981,6.062893,6.353623,6.353623
99942efd8f186320dae03896a8d9663c3432a4a45ea17f07675278abb9fbcbe0.elf,5.907044,5.960619,6.336268,6.336268
9fc929ce4ebf76192ac2ad62a29755feeed57fae7d4420f9f42acddc42e5efdc.elf,7.960036,7.960036,7.960036,7.960036
9fe9e5993a433cc5bf469b0445e86e9e94301fb327f6700a000297e800a0e40a.elf,6.406162,6.402901,6.394052,6.386366
a05ae421b9eb7fd32c1dcf46b01d89cdc4025f6c145ca59d611f4d4e50bded30.elf,6.034101,6.084241,6.360185,6.360185
a52f419baec4909aecdbe1e1e735724370a3822574cc452e87b7a62cb89df754.elf,6.016485,6.083948,6.415380,6.415380
a947b6265e4273af26dfa3aa7400946aeab229ac994dfb07d33b8c7dbd89d46d.elf,5.866407,6.172390,6.166095,6.156383
ab27f6c7634e9efc13fb2db29216a0a8,4.092348,4.248794,4.467888,4.658799
afa8a32ec29a31f152ba20a30eb483520fe50f2dce6c9aa9135d88f7c9c511d7.elf,6.345114,6.381313,6.378560,6.377474
arc5l,4.959239,5.064368,5.289950,5.289950
arc64,5.025908,5.140732,5.270962,5.270962
arc64.1,5.019130,5.129363,5.259124,5.259124
b092fa82c44bd26747cd0a238bd1d81029855dc6b039e1ec9e9c9fbe9dac597d.elf,6.273092,6.288876,6.270962,6.256009
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,4.970325,5.524114,5.622446,5.770230
bash,4.850505,4.958933,4.944293,4.944293
bash.1,4.850505,4.959552,4.945146,4.945146
bash.2,4.850505,4.959279,4.945382,4.945382
bash.3,4.850505,4.958684,4.944242,4.944242
bash.4,4.850505,4.959106,4.944325,4.944325
bash.5,4.850505,4.960140,4.945146,4.945146
c4218f2f52d9271d7abe42d68bd8555f125589ebd857c53cc77d9b00b385b8a7.elf,5.940885,5.991083,6.243896,6.243896
c851900d3053c568a6fc06954dfe9669af341688f0e7b9395edbfdce8dcc9062.elf,6.155656,6.196295,6.447512,6.447512
c8c246c326471e3825d3ca9663c0e56c,5.986005,6.038909,6.311378,6.311378
ce0efa630175ce9a8bee1758994ea02df33cb36e136ab9aec632b0126f91bbce.elf,6.273127,6.292604,6.270424,6.253501
d0188e8a46a68363e7852e6a61b2bb65b461458c175764c735292be9da020d36.elf,6.229815,6.252703,6.227995,6.207626
d661a2eb46380a121dd4625e9997b857b1911494d68cb06cb5c06a19e4a5a028.elf,6.229777,6.249179,6.225986,6.201869
dffb31311e22e5cf804b010bfab84944de6bdf596f3bdad5e5fd57fde68329ad.elf,6.194711,6.214814,6.210050,6.208783
do.x86,5.678446,5.865249,5.866433,5.869712
e0a10d6ea3f6debeb7882586b7b8452c1cf01d922bbf62fba57d3317e000bb04.elf,6.161681,6.298336,6.274614,6.257105
e54ad8dadb4dadcdf6c0e3a13a077192,5.953336,6.052516,6.341471,6.341471
e840315f365377541d062a6c0e353bc6f6c3e7c32c53cc4b325127fb8680de9c.elf,6.274840,6.305938,6.281534,6.259403
e8adcbe01f9303f82ec813bcb934f85f47d45c98ad1f8fa154ef3f7f705b4cb1.elf,6.059947,6.105043,6.378116,6.378116
ecad7f662eef8b387ca73d3134c160dcaf1babce36f3abeca0a45307a32007ad.elf,5.914295,5.933754,5.921542,5.897528
f0fd6a084c2403c343ecb5e8a0fba089a0edd895e214d56cd29e7061d3644230.elf,6.151560,6.235855,6.231884,6.229882
f5968ced46e935dbe5f5e82dc635dc85090b3edf17e399edd40474a69ce5be8e.elf,5.152676,5.314863,5.316894,5.325410
f97396cb3dc5e9d24f1e85fd35bc4035d7a54057c0219121786f5428770a29ce.elf,7.959288,7.959288,7.959288,7.959288
f9f969a431b4334e480cc7659c865418df5220bd694dc0617e1af65678bd7834.elf,6.209776,6.345210,6.327615,6.311433
fc971b9bf221082057f917bd4afd425097ce7ce0258c97e9ceb4892858eb0af1.elf,6.062440,6.104862,6.380750,6.380750
ff13b9d3942b0f176613a288a016be0b09c531e60fee992efb24e95aa613c0d7.elf,5.940719,5.990207,6.241344,6.241344
FUS4,5.230445,5.328717,5.451070,5.451070
fyfa3,6.050385,6.111295,6.403649,6.403649
HIH4,5.158957,5.328267,5.451053,5.451053
hohox86,4.876558,4.759338,5.256371,5.256371
IOK4,5.237601,5.340363,5.466835,5.466835
k5l,5.901386,5.954943,6.125045,6.125045
k5l.1,5.901386,5.952700,6.122365,6.122365
k64,5.916891,5.995687,6.148240,6.148240
k64.1,5.911381,5.989559,6.143338,6.143338
