Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,75678,6.368710,614088.720685,99.124343,3.383493,0.242836
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,93054,6.064104,1631380.701915,79.864401,3.633503,0.383447
27d6187c016d10afabb437b27bc8623b363401d56754d7f62967ceb19e6d9c28.elf,100148,6.146668,1461675.505372,88.554539,3.468696,0.388267
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,30712,7.948372,3614.255796,123.284807,3.216100,0.051264
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,123384,6.186727,1602548.915775,91.442294,3.424042,0.434256
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,119561,6.069611,1860507.208195,91.074648,3.393958,0.444564
4347c8cefad4d369fc3a2563fa311f8deac0d08d7b660835d523b1d072f191ff.elf,3512768,6.767795,17649133.001549,98.043192,3.568265,0.200436
4a8b09557c61dfc2e7a850b1b2c5c81f3edcfb9f194cccc587b61bffa01936cf.elf,75518,6.380532,617377.549988,94.049935,3.528683,0.247543
4adbfd0bf664acf9a00d5b5d947256ad77c9bed9f751dc92b7ee79d8a3fad596.elf,70126,6.382483,583176.362490,98.370005,3.446565,0.237632
4c0b6dc763db2c0af6341e7132f159e487330f0e2203bffd86f4018980d8115c.elf,42432,7.891202,7857.230769,112.273049,3.377828,0.038868
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,104261,5.887510,2135720.783562,78.345546,3.579650,0.410967
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,70910,6.384877,587487.710224,93.699196,3.519039,0.245354
545669d87a4f72c762f24e9dd3f36e35f74428f2ca9ce57fde23cd2f8dbc2296.elf,54296,7.897673,9196.120819,112.874632,3.375401,0.029432
55b5f6596994fbaef8be464a88155716926c4ac6c2339ce4310c9fcc099f63e3.elf,54470,6.363487,428672.986304,96.736148,3.508702,0.254101
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,59728,6.272430,535657.819448,93.577702,3.522202,0.250649
5930b55e90de6c5549b2e0e077695aa0b9890dd92f2d001e4a6e2393e7b3c321.elf,61470,6.341646,532366.149276,93.186075,3.537335,0.252574
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,90731,6.080337,1459510.171287,85.870199,3.525693,0.385899
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,239391,5.875541,3902334.661934,71.406874,3.695925,0.437764
629d81986bb01d49eaec5ec578c721e7184ba428d6e3d69efd3401b42b908e72.elf,135369,6.219065,1731459.002512,89.784633,3.485484,0.399581
64c6f5039b72a83c7f81b094177ddf675c73a8cbdb0fae6f3f55f528213d1c00.elf,119593,6.068047,1857617.587509,91.121002,3.389524,0.443248
6739b6d2bc0133ee200811665c164c0e0866cc9223a00819844d58568a7e4ca6.elf,156094,6.387608,967447.742796,98.265616,3.436786,0.329328
6a3084bc7ee9501e33dcefceaab00ec8135e523d811ab8cc5c389df1511858b9.elf,85159,6.019343,1463626.110581,83.472704,3.560065,0.382656
6c2ddfac018f28f75d48bd9306e2202f439789fc0378acf082c39e168dc69034.elf,42096,5.491973,1139782.732041,79.697525,3.408780,0.541214
7311111bc744b185239be8f0ec37b566709dda7260a96a8f506b225ed0c4bdd8.elf,107749,5.925808,2041764.642558,79.155667,3.585700,0.399846
74546959f0ac470265812ed94586103402c81263c36fb1541e3a36b627761a00.elf,70910,6.386920,588811.834212,93.719800,3.514977,0.245561
76332198516a084c7e23fcd1e1a8a5160ca706b18ceb93c731c50ac75a19b946.elf,1207929,5.728676,31026269.768014,73.949961,3.604433,0.442245
78a1b5bea50034e7a03e6ed5c0f4f80f1fbc770555891a73790e1b59a2fba608.elf,109330,6.408945,716515.566121,101.713528,3.402448,0.189667
7aef6136fa14af5a22ed5ecb1659816e0626b0266e9303628170c88cfb8c8de0.elf,87454,6.344266,777275.717383,93.975919,3.545798,0.236611
7f62c5975b3c8cd99f84d52a7453307865b523e97685bc85b3bdbdbd11384143.elf,70942,6.385800,588139.486961,93.752558,3.543601,0.246023
818675ba09b4883e57790aff9a79669275dfe088d02dc5f5cf459b16375d17db.elf,84990,6.326012,761539.474432,96.170608,3.443134,0.252701
85a1e5d57b3ba79e0051a0cc4c53067621384fb369ff4f54ebe3ec551d4f6e8c.elf,43840,7.971271,2512.105109,124.967153,3.156857,0.037581
8a9b9d1afdd1d4f8fdadcb4525992a98dd373a33c02fc171c42148df0bff623b.elf,42772,7.888693,8210.317404,112.339545,3.351291,0.039527
8c0e1b9faeacac7b923f6f907f740c8b65d31c22248b3a765775809fc23002b5.elf,123159,6.185579,1602659.480241,91.372315,3.424145,0.432162
90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3.elf,29440,7.943852,3876.295652,123.321807,3.178965,0.058431
99942efd8f186320dae03896a8d9663c3432a4a45ea17f07675278abb9fbcbe0.elf,82695,5.985141,1534282.804220,82.986190,3.542302,0.389764
9fc929ce4ebf76192ac2ad62a29755feeed57fae7d4420f9f42acddc42e5efdc.elf,37380,7.960036,3192.425040,123.664580,3.183307,0.039201
9fe9e5993a433cc5bf469b0445e86e9e94301fb327f6700a000297e800a0e40a.elf,138750,6.490285,1050615.073643,94.650775,3.497168,0.254340
a05ae421b9eb7fd32c1dcf46b01d89cdc4025f6c145ca59d611f4d4e50bded30.elf,120752,6.169637,1687311.499669,88.576570,3.467329,0.388090
a52f419baec4909aecdbe1e1e735724370a3822574cc452e87b7a62cb89df754.elf,107542,6.149894,1619001.916981,85.373845,3.530436,0.379783
a947b6265e4273af26dfa3aa7400946aeab229ac994dfb07d33b8c7dbd89d46d.elf,56958,6.274555,528566.406334,93.191527,3.533130,0.249739
afa8a32ec29a31f152ba20a30eb483520fe50f2dce6c9aa9135d88f7c9c511d7.elf,338442,6.426589,2663366.803210,95.260417,3.392345,0.298174
b092fa82c44bd26747cd0a238bd1d81029855dc6b039e1ec9e9c9fbe9dac597d.elf,75774,6.374746,624195.501729,94.131787,3.541373,0.247150
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,49008,5.638306,1005964.594189,83.302379,3.475514,0.404645
