name,add,sub,mov,and,xor,nop,push,pop,garbage
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,133,100,1589,6,0,12,190,168,852
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,134,92,3822,8,0,536,244,258,2020
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,175,128,3090,10,0,481,339,348,1688
6c2ddfac018f28f75d48bd9306e2202f439789fc0378acf082c39e168dc69034.elf,125,36,1047,0,0,5,43,25,426
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,272,150,2769,12,0,11,267,192,1582
7f62c5975b3c8cd99f84d52a7453307865b523e97685bc85b3bdbdbd11384143.elf,175,128,3090,10,0,492,339,348,1691
8a9b9d1afdd1d4f8fdadcb4525992a98dd373a33c02fc171c42148df0bff623b.elf,-1,-1,-1,-1,-1,-1,-1,-1,-1
8c0e1b9faeacac7b923f6f907f740c8b65d31c22248b3a765775809fc23002b5.elf,272,150,2755,12,0,15,274,192,1543
fc971b9bf221082057f917bd4afd425097ce7ce0258c97e9ceb4892858eb0af1.elf,272,150,2769,12,0,13,263,192,1566
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,255,103,2337,5,0,7,174,145,1240
76332198516a084c7e23fcd1e1a8a5160ca706b18ceb93c731c50ac75a19b946.elf,769,573,9186,55,0,434,1621,2018,5280
f5968ced46e935dbe5f5e82dc635dc85090b3edf17e399edd40474a69ce5be8e.elf,333,346,5701,30,0,629,956,1139,3144
f0fd6a084c2403c343ecb5e8a0fba089a0edd895e214d56cd29e7061d3644230.elf,138,105,2962,16,0,525,319,284,1466
7aef6136fa14af5a22ed5ecb1659816e0626b0266e9303628170c88cfb8c8de0.elf,249,151,3882,21,0,587,384,445,2035
6a3084bc7ee9501e33dcefceaab00ec8135e523d811ab8cc5c389df1511858b9.elf,166,105,1731,8,0,11,200,170,990
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,123,79,1093,3,0,3,119,101,645
e0a10d6ea3f6debeb7882586b7b8452c1cf01d922bbf62fba57d3317e000bb04.elf,189,135,3496,10,0,519,367,373,1868
90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3.elf,-1,-1,-1,-1,-1,-1,-1,-1,-1
e8adcbe01f9303f82ec813bcb934f85f47d45c98ad1f8fa154ef3f7f705b4cb1.elf,272,150,2754,12,0,13,266,192,1561
6739b6d2bc0133ee200811665c164c0e0866cc9223a00819844d58568a7e4ca6.elf,150,99,11095,8,0,572,274,288,3311
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,-1,-1,-1,-1,-1,-1,-1,-1,-1
ff13b9d3942b0f176613a288a016be0b09c531e60fee992efb24e95aa613c0d7.elf,298,135,2714,9,0,8,236,190,1579
e840315f365377541d062a6c0e353bc6f6c3e7c32c53cc4b325127fb8680de9c.elf,175,128,3090,10,0,502,339,348,1724
78a1b5bea50034e7a03e6ed5c0f4f80f1fbc770555891a73790e1b59a2fba608.elf,286,192,5167,41,0,29,861,934,2978
