name,harmless,malicious,suspicious,failure,timeout,type-unsupported,undetected,detection rate,drate
Bkav,0,0,0,0,0,0,87,0.0,"0,00"
Lionic,0,74,0,0,2,0,11,0.85,"0,85"
Elastic,0,66,0,1,0,11,7,0.89,"0,75"
MicroWorld-eScan,0,86,0,0,0,0,1,0.99,"0,98"
FireEye,0,86,0,0,0,0,1,0.99,"0,98"
CAT-QuickHeal,0,24,0,0,0,0,63,0.28,"0,27"
ALYac,0,82,0,2,0,0,3,0.94,"0,94"
Malwarebytes,0,0,0,0,0,0,87,0.0,"0,00"
Zillya,0,31,0,1,0,0,55,0.36,"0,35"
Paloalto,0,0,0,0,0,87,0,0,"0,00"
Sangfor,0,83,0,1,0,0,2,0.97,"0,95"
K7AntiVirus,0,0,0,0,0,0,87,0.0,"0,00"
Alibaba,0,0,0,0,0,87,0,0,"0,00"
K7GW,0,0,0,0,0,0,87,0.0,"0,00"
Trustlook,0,0,0,0,0,87,0,0,"0,00"
BitDefenderTheta,0,72,0,0,0,0,15,0.83,"0,82"
VirIT,0,26,0,0,0,0,46,0.36,"0,29"
Cyren,0,79,0,0,0,0,8,0.91,"0,90"
SymantecMobileInsight,0,0,0,2,0,85,0,0.0,"0,00"
Symantec,0,83,0,0,2,0,1,0.97,"0,95"
tehtris,0,0,0,0,0,72,0,0,"0,00"
ESET-NOD32,0,86,0,0,0,0,1,0.99,"0,98"
Cynet,0,85,0,0,0,0,0,1.0,"0,97"
TrendMicro-HouseCall,0,85,0,0,0,0,2,0.98,"0,97"
Avast,0,86,0,1,0,0,0,0.99,"0,98"
ClamAV,0,78,0,0,0,0,9,0.9,"0,89"
Kaspersky,0,87,0,0,0,0,0,1.0,"1,00"
BitDefender,0,86,0,0,0,0,1,0.99,"0,98"
NANO-Antivirus,0,28,0,0,0,0,59,0.32,"0,32"
SUPERAntiSpyware,0,0,0,0,0,0,87,0.0,"0,00"
APEX,0,0,0,0,0,87,0,0,"0,00"
Tencent,0,83,0,2,0,0,0,0.98,"0,95"
TACHYON,0,0,0,0,0,0,87,0.0,"0,00"
Emsisoft,0,86,0,0,0,0,1,0.99,"0,98"
Baidu,0,0,0,1,1,0,85,0.0,"0,00"
F-Secure,0,84,0,0,1,0,2,0.97,"0,96"
DrWeb,0,82,0,0,0,0,5,0.94,"0,94"
VIPRE,0,71,0,0,0,0,16,0.82,"0,81"
TrendMicro,0,83,0,0,0,0,4,0.95,"0,95"
McAfee-GW-Edition,0,86,0,1,0,0,0,0.99,"0,98"
Trapmine,0,0,0,0,0,87,0,0,"0,00"
CMC,0,0,0,0,0,0,86,0.0,"0,00"
Sophos,0,74,0,0,0,0,13,0.85,"0,85"
SentinelOne,0,84,0,0,0,0,3,0.97,"0,96"
Avast-Mobile,0,73,0,0,0,0,14,0.84,"0,83"
Jiangmin,0,52,0,0,0,0,35,0.6,"0,59"
Webroot,0,0,0,0,0,86,0,0,"0,00"
Avira,0,87,0,0,0,0,0,1.0,"1,00"
Antiy-AVL,0,86,0,0,0,0,1,0.99,"0,98"
Microsoft,0,82,0,2,2,0,1,0.94,"0,94"
Gridinsoft,0,34,0,0,0,0,51,0.4,"0,39"
Xcitium,0,12,0,0,0,0,58,0.17,"0,13"
Arcabit,0,84,0,0,0,0,3,0.97,"0,96"
ViRobot,0,1,0,0,0,0,86,0.01,"0,01"
ZoneAlarm,0,86,0,0,0,0,1,0.99,"0,98"
GData,0,86,0,0,0,0,1,0.99,"0,98"
Google,0,66,0,1,0,0,0,0.99,"0,75"
BitDefenderFalx,0,0,0,0,0,76,0,0,"0,00"
AhnLab-V3,0,49,0,0,0,0,38,0.56,"0,56"
Acronis,0,0,0,0,0,2,85,0.0,"0,00"
McAfee,0,74,0,1,0,0,12,0.85,"0,85"
MAX,0,73,0,0,0,0,14,0.84,"0,83"
DeepInstinct,0,0,0,0,0,70,0,0,"0,00"
VBA32,0,0,0,0,0,0,87,0.0,"0,00"
Cylance,0,0,0,0,1,86,0,0.0,"0,00"
Zoner,0,0,0,0,0,0,87,0.0,"0,00"
Rising,0,85,0,0,0,0,2,0.98,"0,97"
Yandex,0,0,0,0,0,0,87,0.0,"0,00"
Ikarus,0,84,0,1,0,0,2,0.97,"0,96"
MaxSecure,0,35,0,1,3,0,48,0.4,"0,40"
Fortinet,0,85,0,0,0,0,2,0.98,"0,97"
AVG,0,86,0,1,0,0,0,0.99,"0,98"
Cybereason,0,0,0,4,1,74,0,0.0,"0,00"
Panda,0,12,0,0,0,0,75,0.14,"0,13"
CrowdStrike,0,0,0,0,0,87,0,0,"0,00"
Ad-Aware,0,17,0,0,0,0,0,1.0,"0,19"
Comodo,0,10,0,0,0,0,7,0.59,"0,11"
eGambit,0,0,0,0,0,14,1,0.0,"0,00"
Kingsoft,0,0,0,0,0,0,17,0.0,"0,00"
TotalDefense,0,0,0,0,0,0,13,0.0,"0,00"
Qihoo-360,0,13,0,0,0,0,0,1.0,"0,14"
Invincea,0,9,0,0,0,2,0,1.0,"0,10"
F-Prot,0,0,0,0,0,0,2,0.0,"0,00"
Endgame,0,0,0,0,0,2,0,0,"0,00"
androguard,0,0,0,1,0,0,0,0.0,"0,00"
