name,harmless,malicious,suspicious,failure,timeout,type-unsupported,undetected,detection rate
Bkav,0,0,0,0,0,0,87,0.0
Lionic,0,19,0,0,0,0,68,0.22
Elastic,0,75,0,0,1,0,11,0.86
DrWeb,0,70,0,0,1,0,16,0.8
MicroWorld-eScan,0,62,0,0,0,0,25,0.71
FireEye,0,61,0,0,1,0,25,0.7
CAT-QuickHeal,0,3,0,0,0,0,84,0.03
ALYac,0,60,0,3,0,0,24,0.69
Malwarebytes,0,0,0,0,0,0,87,0.0
VIPRE,0,61,0,0,1,0,25,0.7
Paloalto,0,0,0,0,0,87,0,0
Sangfor,0,74,0,0,4,0,9,0.85
K7AntiVirus,0,0,0,0,0,0,87,0.0
Alibaba,0,0,0,0,0,87,0,0
K7GW,0,0,0,0,0,0,87,0.0
Trustlook,0,0,0,0,1,86,0,0.0
Arcabit,0,62,0,0,0,0,25,0.71
BitDefenderTheta,0,71,0,0,1,0,15,0.82
VirIT,0,0,0,0,4,0,83,0.0
Cyren,0,51,0,0,1,0,35,0.59
SymantecMobileInsight,0,0,0,0,0,87,0,0
Symantec,0,56,0,0,0,0,31,0.64
tehtris,0,0,0,0,0,87,0,0
ESET-NOD32,0,19,0,0,1,0,67,0.22
APEX,0,0,0,0,0,87,0,0
TrendMicro-HouseCall,0,57,0,0,2,0,28,0.66
Avast,0,80,0,2,5,0,0,0.92
ClamAV,0,73,0,1,2,0,11,0.84
Kaspersky,0,81,0,0,1,0,5,0.93
BitDefender,0,61,0,0,1,0,25,0.7
NANO-Antivirus,0,0,0,0,0,0,87,0.0
SUPERAntiSpyware,0,0,0,0,0,0,87,0.0
Tencent,0,51,0,6,0,0,30,0.59
TACHYON,0,0,0,0,0,0,87,0.0
Emsisoft,0,59,0,0,3,0,25,0.68
F-Secure,0,55,0,0,1,0,31,0.63
Baidu,0,0,0,1,4,0,82,0.0
Zillya,0,0,0,1,0,0,86,0.0
TrendMicro,0,57,0,0,2,0,28,0.66
McAfee-GW-Edition,0,66,0,1,0,0,20,0.76
Trapmine,0,0,0,0,0,87,0,0
CMC,0,0,0,0,0,0,87,0.0
Sophos,0,59,0,0,0,0,28,0.68
SentinelOne,0,82,0,0,0,0,5,0.94
GData,0,61,0,0,1,0,25,0.7
Jiangmin,0,2,0,0,1,0,84,0.02
Webroot,0,0,0,0,0,87,0,0
Google,0,75,0,0,0,0,10,0.88
Avira,0,56,0,0,0,0,31,0.64
Antiy-AVL,0,36,0,0,0,0,51,0.41
Gridinsoft,0,8,0,0,0,0,79,0.09
Xcitium,0,0,0,0,0,0,87,0.0
Microsoft,0,64,0,2,11,0,10,0.74
ViRobot,0,0,0,0,0,0,87,0.0
ZoneAlarm,0,81,0,0,1,0,5,0.93
Avast-Mobile,0,73,0,0,0,0,14,0.84
Cynet,0,56,0,0,0,1,30,0.65
BitDefenderFalx,0,0,0,0,0,87,0,0
AhnLab-V3,0,48,0,0,0,0,39,0.55
Acronis,0,0,0,0,0,0,87,0.0
McAfee,0,57,0,0,5,0,25,0.66
MAX,0,50,0,0,14,0,23,0.57
DeepInstinct,0,0,0,1,0,86,0,0.0
VBA32,0,0,0,0,2,0,85,0.0
Cylance,0,0,0,0,0,87,0,0
Zoner,0,0,0,0,0,0,87,0.0
Rising,0,70,0,0,0,0,17,0.8
Yandex,0,0,0,0,0,0,87,0.0
Ikarus,0,16,0,0,0,0,71,0.18
MaxSecure,0,40,0,0,0,0,47,0.46
Fortinet,0,74,0,0,1,0,12,0.85
AVG,0,80,0,2,5,0,0,0.92
Cybereason,0,0,0,1,1,85,0,0.0
Panda,0,1,0,0,1,0,85,0.01
CrowdStrike,0,0,0,0,0,87,0,0
