name,detection rate 0,detection rate 1,detection rate 2
Acronis,0.00,0.00,0.00
AhnLab-V3,0.56,0.55,0.03
Alibaba,0.00,0.00,0.00
ALYac,0.94,0.68,0.14
Antiy-AVL,0.98,0.41,0.40
APEX,0.00,0.00,0.00
Arcabit,0.96,0.71,0.14
Avast,0.98,0.91,0.93
Avast-Mobile,0.83,0.83,0.83
AVG,0.98,0.91,0.90
Avira,1.00,0.64,0.50
Baidu,0.00,0.00,0.00
BitDefender,0.98,0.70,0.14
BitDefenderFalx,0.00,0.00,0.00
BitDefenderTheta,0.82,0.81,0.29
Bkav,0.00,0.00,0.00
CAT-QuickHeal,0.27,0.03,0.03
ClamAV,0.89,0.83,0.82
CMC,0.00,0.00,0.00
CrowdStrike,0.00,0.00,0.00
Cybereason,0.00,0.00,0.00
Cylance,0.00,0.00,0.00
Cynet,0.97,0.64,0.50
Cyren,0.9,0.58,0.19
DeepInstinct,0.00,0.00,0.00
DrWeb,0.94,0.80,0.33
Elastic,0.75,0.86,0.86
Emsisoft,0.98,0.67,0.14
ESET-NOD32,0.98,0.21,0.20
F-Secure,0.96,0.63,0.50
FireEye,0.98,0.70,0.14
Fortinet,0.97,0.85,0.39
GData,0.98,0.70,0.62
Google,0.75,0.86,0.63
Gridinsoft,0.39,0.09,0.09
Ikarus,0.96,0.18,0.18
Jiangmin,0.59,0.02,0.02
K7AntiVirus,0.00,0.00,0.00
K7GW,0.00,0.00,0.00
Kaspersky,1.00,0.93,0.71
Lionic,0.85,0.21,0.42
Malwarebytes,0.00,0.00,0.00
MAX,0.83,0.57,0.14
MaxSecure,0.4,0.45,0.55
McAfee,0.85,0.65,0.54
McAfee-GW-Edition,0.98,0.75,0.83
Microsoft,0.94,0.73,0.82
MicroWorld-eScan,0.98,0.71,0.14
NANO-Antivirus,0.32,0.00,0.00
Paloalto,0.00,0.00,0.00
Panda,0.13,0.01,0.01
Rising,0.97,0.80,0.80
Sangfor,0.95,0.85,0.89
SentinelOne,0.96,0.94,0.77
Sophos,0.85,0.67,0.60
SUPERAntiSpyware,0.00,0.00,0.00
Symantec,0.95,0.64,0.44
SymantecMobileInsight,0.00,0.00,0.00
TACHYON,0.00,0.00,0.00
tehtris,0.00,0.00,0.00
Tencent,0.95,0.58,0.58
Trapmine,0.00,0.00,0.00
TrendMicro,0.95,0.65,0.40
TrendMicro-HouseCall,0.97,0.65,0.48
Trustlook,0.00,0.00,0.00
VBA32,0.00,0.00,0.00
VIPRE,0.81,0.70,0.14
VirIT,0.29,0.00,0.00
ViRobot,0.01,0.00,0.00
Webroot,0.00,0.00,0.00
Xcitium,0.13,0.00,0.00
Yandex,0.00,0.00,0.00
Zillya,0.35,0.00,0.00
ZoneAlarm,0.98,0.93,0.71
Zoner,0.00,0.00,0.00
